,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Yumen,0%,CN,2019-07-11,24%,40.29°,97.04°,75.83°F,5.84 mph
1,Quisqueya,40%,DO,2019-07-11,62%,18.55°,-69.41°,87.8°F,5.82 mph
2,Aklavik,75%,CA,2019-07-11,57%,68.22°,-135.01°,51.8°F,13.87 mph
3,Mar del Plata,0%,AR,2019-07-11,66%,-46.43°,-67.52°,41.09°F,6.04 mph
4,Busselton,78%,AU,2019-07-11,78%,-33.64°,115.35°,45.0°F,8.77 mph
5,Renqiu,0%,CN,2019-07-11,43%,38.71°,116.1°,83.03°F,7.14 mph
6,Hobart,75%,AU,2019-07-11,70%,-42.88°,147.33°,46.4°F,14.99 mph
7,Lebu,75%,ET,2019-07-11,87%,8.96°,38.73°,55.4°F,11.41 mph
8,Koumra,96%,TD,2019-07-11,95%,8.92°,17.55°,68.63°F,4.16 mph
9,Havre-Saint-Pierre,20%,CA,2019-07-11,67%,50.23°,-63.6°,59.0°F,6.93 mph
10,Port Keats,38%,AU,2019-07-11,53%,-14.25°,129.55°,74.03°F,12.12 mph
11,Punta Arenas,90%,CL,2019-07-11,86%,-53.16°,-70.91°,41.0°F,14.99 mph
12,Yellowknife,90%,CA,2019-07-11,93%,62.45°,-114.38°,57.2°F,4.7 mph
13,Nioro,100%,GM,2019-07-11,62%,13.79°,-15.05°,79.97°F,12.01 mph
14,Rikitea,22%,PF,2019-07-11,80%,-23.12°,-134.97°,73.67°F,17.36 mph
15,San Patricio,25%,PY,2019-07-11,79%,-26.98°,-56.83°,67.91°F,6.85 mph
16,Atuona,15%,PF,2019-07-11,77%,-9.8°,-139.03°,81.41°F,18.5 mph
17,Ushuaia,75%,AR,2019-07-11,93%,-54.81°,-68.31°,37.4°F,20.8 mph
18,Norman Wells,75%,CA,2019-07-11,66%,65.28°,-126.83°,53.6°F,13.87 mph
19,Jamestown,76%,AU,2019-07-11,79%,-33.21°,138.6°,51.89°F,21.05 mph
20,Alofi,75%,NU,2019-07-11,83%,-19.06°,-169.92°,78.8°F,16.11 mph
21,Khatanga,50%,RU,2019-07-11,52%,71.98°,102.47°,52.79°F,10.16 mph
22,Chuy,100%,UY,2019-07-11,81%,-33.69°,-53.46°,57.47°F,9.53 mph
23,Port Alfred,14%,ZA,2019-07-11,81%,-33.59°,26.89°,63.0°F,5.99 mph
24,Thompson,75%,CA,2019-07-11,82%,55.74°,-97.86°,59.0°F,5.08 mph
